2024-12-23 13:48:29 - (249, 185) - None - 4
2024-12-23 13:48:29 - (249, 185) - None - 4
2024-12-23 13:48:29 - (249, 185) - None - 4
2024-12-23 13:48:29 - (249, 185) - None - 4
2024-12-23 13:48:29 - (249, 185) - None - 4
2024-12-23 13:48:29 - (249, 185) - None - 5
2024-12-23 13:48:29 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:30 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:31 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:32 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 5
2024-12-23 13:48:33 - (249, 185) - None - 6
2024-12-23 13:48:33 - (249, 185) - None - 6
2024-12-23 13:48:34 - (249, 185) - None - 6
2024-12-23 13:48:34 - (249, 185) - None - 6
2024-12-23 13:48:34 - (249, 185) - None - 6
2024-12-23 13:48:34 - (249, 185) - None - 6
2024-12-23 13:48:34 - (249, 185) - None - 6
2024-12-23 13:48:34 - (249, 185) - None - 7
2024-12-23 13:48:34 - (249, 185) - None - 7
2024-12-23 13:48:34 - (249, 185) - None - 7
2024-12-23 13:48:35 - (249, 185) - None - 7
2024-12-23 13:48:35 - (249, 185) - None - 7
2024-12-23 13:48:35 - (249, 185) - None - 7
2024-12-23 13:48:35 - (346, 138) - None - 7
2024-12-23 13:48:35 - (890, 80) - None - 7
2024-12-23 13:48:35 - (868, 75) - None - 7
2024-12-23 13:48:35 - (856, 171) - None - 8
2024-12-23 13:48:35 - (880, 119) - None - 8
2024-12-23 13:48:35 - (865, 143) - None - 8
2024-12-23 13:48:36 - (883, 121) - None - 8
2024-12-23 13:48:36 - (865, 143) - None - 8
2024-12-23 13:48:36 - (611, 168) - None - 8
2024-12-23 13:48:36 - (520, 166) - None - 8
2024-12-23 13:48:36 - (520, 166) - Left Click - 8
2024-12-23 13:48:36 - (520, 166) - None - 8
2024-12-23 13:48:36 - (520, 166) - None - 8
2024-12-23 13:48:36 - (520, 166) - None - 8
2024-12-23 13:48:37 - (520, 166) - None - 8
2024-12-23 13:48:37 - (520, 166) - None - 8
2024-12-23 13:48:37 - (486, 194) - A - 9
2024-12-23 13:48:37 - (486, 194) - A - 9
2024-12-23 13:48:37 - (486, 194) - None - 9
2024-12-23 13:48:37 - (486, 194) - Left Click - 9
2024-12-23 13:48:37 - (486, 194) - None - 9
2024-12-23 13:48:37 - (440, 226) - None - 9
2024-12-23 13:48:37 - (434, 230) - None - 10
2024-12-23 13:48:38 - (434, 230) - Left Click - 10
2024-12-23 13:48:38 - (434, 230) - None - 10
2024-12-23 13:48:38 - (456, 166) - None - 10
2024-12-23 13:48:38 - (462, 156) - Left Click - 10
2024-12-23 13:48:38 - (462, 156) - None - 10
2024-12-23 13:48:38 - (462, 156) - None - 10
2024-12-23 13:48:38 - (462, 156) - None - 10
2024-12-23 13:48:38 - (462, 156) - None - 10
2024-12-23 13:48:38 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:39 - (462, 156) - None - 10
2024-12-23 13:48:40 - (468, 173) - None - 11
2024-12-23 13:48:40 - (463, 185) - None - 11
2024-12-23 13:48:40 - (463, 185) - Shift - 11
2024-12-23 13:48:40 - (463, 185) - Shift - 11
2024-12-23 13:48:40 - (463, 185) - Left Click - 11
2024-12-23 13:48:40 - (463, 185) - None - 11
2024-12-23 13:48:40 - (440, 174) - Shift - 11
2024-12-23 13:48:40 - (374, 166) - Left Click - 11
2024-12-23 13:48:40 - (374, 166) - None - 11
2024-12-23 13:48:41 - (374, 166) - None - 11
2024-12-23 13:48:41 - (374, 166) - None - 11
